latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	version	gloss_id	ssc_id	decimation_method	reference_code	reference_offset
-7.982	131.29	Saumlaki	Indonesia	360	4201	420	A		saum	1	R	0
-7.917	345.583	Ascension	United Kingdom of Great Britain and Northern Ireland (the)	826	2911	291	A	263	ascen	1	R	0
-7.752	109.017	Cilacap	Indonesia	360	1621	162	A	291	cila	1	R	0
-7.752	109.017	Cilicap	Indonesia	360	1622	162	B	291	cila	1	R	0
-7.752	109.017	Cilicap	Indonesia	360	1623	162	C	291	cila	1	R	0
-7.29	72.393	Diego Garcia	United Kingdom of Great Britain and Northern Ireland (the)	826	1043	104	C	26	garc	1	R	0
-7.29	72.393	Diego Garcia	United Kingdom of Great Britain and Northern Ireland (the)	826	1044	104	D	26	garc	1	R	0
-7.233	72.433	Diego Garcia	United Kingdom of Great Britain and Northern Ireland (the)	826	1042	104	B	26	garc	1	R	0
-7.208	112.725	Surabaya	Indonesia	360	1601	160	A	292	sura	1	R	0
-6.933	279.283	Lobos de Afuera	Peru	604	841	84	A		lobo	1	R	0
-6.82	39.288	Dar Es Salaam	Tanzania, United Republic of	834	1021	102	A		dare	1	R	0
-6.733	146.983	Lae	Papua New Guinea	598	671	67	A		laep	1	R	0
-6.183	155.883	Anewa Bay	Papua New Guinea	598	481	48	A		anew	1	R	0
-6.155	39.19	Zanzibar	Tanzania, United Republic of	834	1511	151	A	297	zanz	1	R	0
-6.117	106.85	Jakarta	Indonesia	360	1611	161	A		koli	1	R	0
-5.85	106.617	Pari	Indonesia	360	1591	159	A		pari	1	R	0
-5.752	324.805	Natal	Brazil	76	2021	202	A	197	pton	1	R	0
-5.752	324.805	Natal	Brazil	76	2022	202	B	197	pton	1	R	0
-5.752	324.805	Natal	Brazil	76	2023	202	C	197	pton	1	R	0
-5.2	145.8	Madang	Papua New Guinea	598	661	66	A		mada	1	R	0
-5.083	278.833	Paita	Peru	604	6781	678	A		pait	1	R	0
-5.083	278.833	Paita	Peru	604	6782	678	B		pait	1	R	0
-4.817	322.95	Termisa	Brazil	76	2841	284	A		term	1	R	0
-4.8	11.85	Pointe Noire	Congo (the)	178	2341	234	A	261	pntn	1	R	0
-4.783	11.833	Pointe Noire	Congo (the)	178	2342	234	B	261	pntn	1	R	0
-4.672	55.528	Pt. La Rue	Seychelles	690	1211	121	A	339	laru	1	R	0
-4.622	55.458	Port Victoria	Seychelles	690	1111	111	A	339	laru	1	X	0
-4.622	55.458	Port Victoria	Seychelles	690	1112	111	B	339	laru	1	R	0
-4.582	278.718	Talara	Peru	604	921	92	A		tala	1	R	0
-4.582	278.718	Talara	Peru	604	922	92	B		tala	1	R	0
-4.343	55.767	Praslin	Seychelles	690	1061	106	A		pras	1	R	0
-4.2	152.175	Rabaul	Papua New Guinea	598	101	10	A	65	raba	1	R	0
-4.07	39.657	Mombasa	Kenya	404	1011	101	A	8	momb	1	R	0
-3.828	327.597	Fer. de Noronha	Brazil	76	2031	203	A	198	fern	1	R	0
-3.828	327.597	Fer. de Noronha	Brazil	76	2032	203	B	198	fern	1	R	0
-3.828	327.597	Fer. de Noronha	Brazil	76	2033	203	C	198	fern	1	R	0
-3.717	321.517	Fortaleza, USCGS	Brazil	76	2831	283	A	336	fort	1	R	0
-3.717	321.533	Fortaleza	Brazil	76	2832	283	B	336	fort	1	R	0
-3.715	321.523	Fortaleza	Brazil	76	2833	283	C	336	fort	1	R	0
-3.683	128.183	Ambon	Indonesia	360	1331	133	A	68	ambo	1	R	0
-3.683	128.183	Ambon	Indonesia	360	1332	133	B	68	ambo	1	R	0
-3.57	143.633	Wewak	Papua New Guinea	598	631	63	A		wewa	1	R	0
-2.867	318.328	Luis Correia	Brazil	76	7111	711	A		luis	1	R	0
-2.81	188.282	Kanton	Kiribati	296	131	13	A	145	kant	1	R	0
-2.81	188.282	Kanton	Kiribati	296	132	13	B	145	kant	1	R	0
-2.585	150.795	Kavieng	Papua New Guinea	598	681	68	A		kavi	1	R	0
-2.565	315.622	Madeira	Brazil	76	7151	715	A	200	poam	1	R	0
-2.272	40.903	Lamu	Kenya	404	1491	149	A		lamu	1	R	0
-2.272	40.903	Lamu	Kenya	404	1492	149	B		lamu	1	R	0
-2.2	279.083	La Libertad	Ecuador	218	911	91	A	172	lali	1	R	0
-2.033	147.367	Lombrum	Papua New Guinea	598	4001	400	A	331	lomb	1	R	0
-2.013	147.272	Manus	Papua New Guinea	598	651	65	A	331	lomb	1	R	0
-1.45	311.5	Belem, USCGS	Brazil	76	2291	229	A		bele	1	R	0
-1.267	116.8	Balikpapan	Indonesia	360	4111	411	A		bali	1	R	0
-1.0	100.367	Padang	Indonesia	360	1071	107	A	45	pada	1	R	0
-0.997	100.375	Padang	Indonesia	360	1072	107	B	45	pada	1	R	0
-0.95	279.267	Manta	Ecuador	218	891	89	A		mant	1	R	0
-0.932	279.278	Manta	Ecuador	218	892	89	B		mant	1	R	0
-0.755	269.687	Santa Cruz	Ecuador	218	301	30	A		sant	1	R	0
-0.687	73.152	Gan	Maldives	462	1091	109	A	27	male2	1	R	0
-0.683	117.417	Bajor	Indonesia	360	4141	414	A		bajo	1	R	0
-0.532	166.91	Nauru	Nauru	520	42	4	B	114	naur	1	R	0
-0.528	166.905	Nauru	Nauru	520	41	4	A	114	naur	1	R	0
-0.437	269.715	Baltra	Ecuador	218	32	3	B	169	balt	1	R	0
-0.435	269.715	Baltra, Galapagos	Ecuador	218	31	3	A	169	balt	1	R	0
-0.383	199.967	Jarvis	United States of America (the)	840	451	45	A		jarv	1	R	0
-0.062	308.84	Santana SSN	Brazil	76	7171	717	A	201	ptos	1	R	0
-0.062	308.84	Santana SSN	Brazil	76	7172	717	B	201	ptos	1	R	0
-0.057	308.82	Santana	Brazil	76	7161	716	A	201	ptos	1	R	0
-0.057	308.82	Santana	Brazil	76	7162	716	B	201	ptos	1	R	0
-0.057	308.82	Santana	Brazil	76	7163	716	C	201	ptos	1	R	0
-0.057	308.82	Santana	Brazil	76	7164	716	D	201	ptos	1	R	0
-0.057	308.82	Santana	Brazil	76	7165	716	E	201	ptos	1	R	0
0.017	6.513	Sao Tome	Sao Tome and Principe	678	2251	225	A	260	saot	1	R	0
0.92	330.657	Peter & Paul Rocks	Brazil	76	2011	201	A	199	Stpe	1	R	10000
0.992	280.353	Esmeraldas	Ecuador	218	981	98	A		esme	1	R	0
1.098	154.777	Kapingamarangi	Micronesia (Federated States of)	583	291	29	A	117	kapi	1	R	0
1.262	103.853	Tanjong Pagar	Singapore	702	6991	699	A	44	tanjo	1	R	0
1.263	103.822	Keppel Harbour	Singapore	702	3271	327	A	44	tanjo	1	R	0
1.263	103.822	Victoria Dock	Singapore	702	3371	337	A	44	tanjo	1	R	0
1.325	103.443	Kukup	Malaysia	458	3251	325	A		kuku	1	R	0
1.362	172.93	Tarawa, Betio	Kiribati	296	23	2	C	113	tara	1	R	0
1.363	172.93	Tarawa, Betio	Kiribati	296	24	2	D	113	tara	1	R	0
1.44	125.193	Bitung	Indonesia	360	331	33	A	69	bitu	1	R	0
1.462	103.792	Johor Baharu	Malaysia	458	3211	321	A		joho	1	R	0
1.75	98.767	Sibolga	Indonesia	360	1221	122	A		sibo	1	R	0
1.75	98.767	Sibolga	Indonesia	360	1222	122	B		sibo	1	R	0
1.817	281.27	Tumaco	Colombia	170	3031	303	A	171	tumc	1	R	0
1.932	104.115	Sedili	Malaysia	458	3241	324	A		sedi	1	R	0
1.982	202.528	Christmas	Kiribati	296	112	11	B	146	xmas	1	R	0
1.985	202.523	Christmas	Kiribati	296	111	11	A	146	xmas	1	R	0
2.1	117.75	Lungsurannaga	Indonesia	360	4101	410	A		lung	1	R	0
2.215	102.153	Keling	Malaysia	458	1411	141	A		keli	1	R	0
2.807	104.14	Tioman	Malaysia	458	3231	323	A		tiom	1	R	0
3.05	101.358	Kelang	Malaysia	458	1401	140	A		kela	1	R	0
3.217	113.067	Bintulu	Malaysia	458	3871	387	A		bint	1	R	0
3.857	200.635	Fanning	Kiribati	296	123	12	C		fann	1	R	0
3.9	282.9	Buenaventura	Colombia	170	851	85	A	170	buve	1	R	0
3.907	200.613	Fanning	Kiribati	296	121	12	A		fann	1	R	0
3.907	200.613	Fanning	Kiribati	296	122	12	B		fann	1	R	0
3.975	103.43	Kuantan	Malaysia	458	3221	322	A		kuan	1	R	0
4.007	9.127	Port Sonara	Cameroon	120	8161	816	A	350	sona	1	R	0
4.183	73.517	Male	Maldives	462	1081	108	A	28	male	1	R	0
4.19	73.527	Male, Hulule	Maldives	462	1082	108	B	28	male	1	R	0
4.233	117.883	Tawau	Malaysia	458	3851	385	A		tawa	1	R	0
4.24	100.613	Lumut	Malaysia	458	1431	143	A	43	peng	1	R	0
4.392	113.972	Miri	Malaysia	458	3881	388	A		miri	1	R	0
4.85	307.717	Cayenne	France	250	2271	227	A	202	caye	1	R	0
4.883	358.25	Takoradi	Ghana	288	2311	231	A	335	tako	1	R	0
4.883	358.25	Takoradi	Ghana	288	2312	231	B	335	tako	1	R	0
4.885	358.255	Takoradi	Ghana	288	2313	231	C	335	tako	1	R	0
5.242	356.0	Abidjanridi	Cote d'Ivoire	384	2301	230	A	257	abid	1	R	0
5.265	103.187	Cendering	Malaysia	458	3201	320	A	293	chen	1	R	0
5.285	307.415	Ile Royale	France	250	8501	850	A		iler	1	R	0
5.288	307.413	I Royal, AnseLegoff	France	250	8511	851	A		iler	1	R	0
5.422	100.347	Penang	Malaysia	458	1441	144	A		pena	1	R	0
5.81	118.067	Sandakan	Malaysia	458	3891	389	A		sanda	1	R	0
5.883	197.912	Palmyra Island	United States of America (the)	840	431	43	A		plmy	1	R	0
5.888	95.317	Sabang	Indonesia	360	1231	123	A	347	saba	1	R	0
5.888	197.917	Palmyra Island	United States of America (the)	840	432	43	B		plmy	1	R	0
5.983	116.067	Kota Kinabalu	Malaysia	458	3861	386	A		kotak	1	R	0
6.067	121.0	Jolo	Philippines (the)	608	3731	373	A	70	jolo	1	R	0
6.227	102.107	Geting	Malaysia	458	3261	326	A		geti	1	R	0
6.417	3.45	Lagos	Nigeria	566	2331	233	A	259	lagos	1	X	0
6.423	3.412	Lagos	Nigeria	566	2333	233	C	259	lagos	1	R	0
6.432	99.765	Langkawi	Malaysia	458	1421	142	A		lank	1	R	0
6.767	73.167	Hanimaadhoo	Maldives	462	1171	117	A		hani	1	R	0
6.767	73.173	Hanimaadhoo	Maldives	462	1172	117	B		hani	1	R	0
6.933	79.85	Colombo	Sri Lanka	144	1151	115	A	33	colo	1	R	0
6.935	79.858	Colombo	Sri Lanka	144	1153	115	C	33	colo	1	R	0
6.942	79.85	Colombo	Sri Lanka	144	1154	115	D	33	colo	1	R	0
6.948	79.853	Colombo	Sri Lanka	144	1152	115	B	33	colo	1	R	0
7.083	125.633	Davao	Philippines (the)	608	3721	372	A	71	davo	1	R	0
7.107	171.373	Majuro	Marshall Islands (the)	584	51	5	A	112	marsh	1	R	0
7.108	171.372	Majuro	Marshall Islands (the)	584	52	5	B	112	marsh	1	R	0
7.122	125.663	Davao	Philippines (the)	608	3722	372	B	71	davo	1	R	0
7.33	134.463	Malakal	Palau	585	72	7	B	120	mala	1	R	0
7.333	134.483	Malakal	Palau	585	71	7	A	120	mala	1	R	0
7.45	151.85	Chuuk	Micronesia (Federated States of)	583	541	54	A	116	chuu	1	R	0
7.832	98.425	Ko Taphao Noi	Thailand	764	1481	148	A	42	kota	1	R	0
8.273	277.14	Puerto Armuelles	Panama	591	3041	304	A		ptoa	1	R	0
8.273	277.14	Puerto Armuelles	Panama	591	3042	304	B		ptoa	1	R	0
8.733	167.733	Kwajalein	Marshall Islands (the)	584	551	55	A	111	kwaj	1	R	0
8.917	280.467	Naos	Panama	591	3001	300	A		naos	1	R	0
8.917	280.467	Naos	Panama	591	3002	300	B		naos	1	R	0
8.965	280.427	Balboa	Panama	591	3021	302	A	168	balb	1	R	0
9.355	280.085	Cristobal	Panama	591	2661	266	A	208	coco	1	R	0
9.4	275.833	Quepos	Costa Rica	188	871	87	A	167	quepo	1	R	0
9.425	275.828	Quepos	Costa Rica	188	872	87	B	167	quepo	1	R	0
9.508	138.128	Yap	Micronesia (Federated States of)	583	82	8	B	119	yapi	1	R	0
9.517	138.133	Yap	Micronesia (Federated States of)	583	81	8	A	119	yapi	1	R	0
9.558	281.052	El Porvenir	Panama	591	7391	739	A		elpo	1	R	0
9.75	118.733	Puerto Princesa	Philippines (the)	608	3801	380	A		desea	1	R	0
9.967	275.167	Puntarenas	Costa Rica	188	3961	396	A		punt	1	X	0
9.988	276.98	Limon	Costa Rica	188	2682	268	B		limn	1	R	0
10.0	276.967	Limon	Costa Rica	188	2681	268	A		limn	1	R	0
10.1	298.583	Point Fortin	Trinidad and Tobago	780	7281	728	A		pnfo	1	R	0
10.28	250.778	Clipperton	France	250	3911	391	A	165	clip	4	R	0
10.28	250.778	Clipperton	France	250	3912	391	B	165	clip	4	R	0
10.28	250.778	Clipperton	France	250	3913	391	C	165	clip	1	R	0
