latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	gloss_id	ssc_id	last_rq_date
20.687	58.872	Masirah	Oman	512	1130	113		masi	2018-12-31T22:59:59Z
20.742	203.112	Manele Bay	United States of America (the)	840	4290	429		mane	
20.783	203.0	Kaumalapau, HI	United States of America (the)	840	5480	548		kaum	2015-03-22T22:59:59Z
20.9	203.533	Kahului	United States of America (the)	840	590	59		kahu	2021-12-31T22:59:59Z
21.082	202.972	Kaunakakai, Hawaii	United States of America (the)	840	4280	428		kaun	
21.287	202.158	Alawai	United States of America (the)	840	4210	421		alaw	
21.307	202.133	Honolulu, Hawaii	United States of America (the)	840	570	57	108	hono	2021-12-31T22:59:59Z
21.317	202.108	Keehi	United States of America (the)	840	4240	424		keeh	
21.322	201.88	Barbers Point, HI	United States of America (the)	840	5470	547		brpt	2018-12-30T22:59:59Z
21.367	202.037	Pearl Harbor	United States of America (the)	840	4340	434		phar	
21.433	202.2	Mokuoloe	United States of America (the)	840	610	61		moku	2021-12-31T22:59:59Z
21.443	202.19	Heeia	United States of America (the)	840	4230	423		heei	
21.45	201.803	Waianae	United States of America (the)	840	4250	425		waia	
21.593	201.895	Haleiwa	United States of America (the)	840	4220	422		hale	
21.902	200.41	Port Allen	United States of America (the)	840	4330	433		ptal	
21.967	200.65	Nawiliwili	United States of America (the)	840	580	58		nawi	2021-12-31T22:59:59Z
22.21	200.502	Hanalei, HI	United States of America (the)	840	4320	432		hanl	
22.237	91.827	Chittagong	Bangladesh	50	1240	124	36	chtt	2018-12-06T22:59:59Z
22.3	114.217	Hong Kong	Hong Kong	344	3290	329	77	quar	2018-12-30T22:59:59Z
22.615	120.282	Kaohsiung	Taiwan (Province of China)	158	3400	340		kaoh	
22.88	250.092	Cabo San Lucas	Mexico	484	340	34	161	cabo	2003-08-31T22:59:59Z
23.628	58.565	Muscat	Oman	512	1100	110		musc	2018-12-30T22:59:59Z
23.867	193.71	French Frigate	United States of America (the)	840	140	14	107	fren	2018-10-03T22:59:59Z
24.3	153.967	Minamitorishima	Japan	392	490	49	104	mins	2023-12-31T22:59:59Z
24.333	124.15	Ishigaki	Japan	392	3650	365		ishig	2023-12-31T22:59:59Z
