,80,90,95,99
slr_glaciers_High_2050_2080,0.5999999999999996,0.7999999999999998,1.0,1.2999999999999998
slr_landwater_High_2050_2080,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.35049999999999965
slr_massdef_High_2050_2080,7.460000000000004,8.349999999999994,9.099999999999994,13.409499999999998
slr_total_Low_2060_2090,0.9500000000000011,1.2050000000000018,1.549999999999999,1.8005000000000002
slr_ocean_dyn_Low_2060_2090,0.25,0.30000000000000027,0.3999999999999999,0.5
slr_vlm_Low_2060_2090,0.5,0.7,0.8,1.0
slr_ais_Low_2060_2090,0.0,0.0,0.050000000000000044,0.09999999999999998
slr_gis_Low_2060_2090,0.45,0.5999999999999999,0.5999999999999999,0.7999999999999998
slr_glaciers_Low_2060_2090,0.20000000000000018,0.2999999999999998,0.3999999999999999,0.5
slr_landwater_Low_2060_2090,0.09999999999999987,0.19999999999999996,0.29999999999999993,0.29999999999999993
slr_massdef_Low_2060_2090,0.6000000000000005,0.7999999999999998,1.1000000000000005,1.6504999999999999
slr_total_IntLow_2060_2090,1.3500000000000014,1.9000000000000021,2.4499999999999993,3.0514999999999994
slr_ocean_dyn_IntLow_2060_2090,0.40000000000000036,0.5,0.5499999999999998,0.8000000000000007
slr_vlm_IntLow_2060_2090,0.5,0.7,0.8,0.95
slr_ais_IntLow_2060_2090,0.3499999999999998,0.40000000000000036,0.5,1.2000000000000002
slr_gis_IntLow_2060_2090,0.8000000000000003,1.0,1.0999999999999996,1.4
slr_glaciers_IntLow_2060_2090,0.30000000000000027,0.4500000000000002,0.5999999999999996,0.7999999999999998
slr_landwater_IntLow_2060_2090,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.35049999999999965
slr_massdef_IntLow_2060_2090,1.25,1.5999999999999996,1.8499999999999979,2.4005
slr_total_Int_2060_2090,2.75,3.9550000000000036,5.4025000000000025,6.899999999999999
slr_ocean_dyn_Int_2060_2090,1.3000000000000007,1.5500000000000007,1.7499999999999982,2.200500000000001
slr_vlm_Int_2060_2090,0.5,0.7,0.7999999999999999,1.0499999999999998
slr_ais_Int_2060_2090,1.0,1.4000000000000004,1.8000000000000007,2.6010000000000004
slr_gis_Int_2060_2090,1.3999999999999995,1.7000000000000002,1.8499999999999996,2.4000000000000004
slr_glaciers_Int_2060_2090,0.6000000000000005,0.8499999999999996,1.0999999999999996,1.4004999999999999
slr_landwater_Int_2060_2090,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.34999999999999987
slr_massdef_Int_2060_2090,2.4499999999999957,3.0500000000000007,3.5500000000000043,4.449999999999999
slr_total_IntHigh_2060_2090,7.099999999999994,8.249999999999988,9.25,11.802000000000003
slr_ocean_dyn_IntHigh_2060_2090,1.299999999999999,1.549999999999999,1.6999999999999993,2.150500000000002
slr_vlm_IntHigh_2060_2090,0.6000000000000001,0.75,0.8999999999999998,1.0004999999999995
slr_ais_IntHigh_2060_2090,1.4000000000000021,2.1999999999999993,2.3999999999999986,3.602999999999999
slr_gis_IntHigh_2060_2090,3.1,3.7500000000000018,4.100000000000001,5.2010000000000005
slr_glaciers_IntHigh_2060_2090,0.5999999999999996,0.7999999999999998,1.0,1.3504999999999991
slr_landwater_IntHigh_2060_2090,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.30000000000000004
slr_massdef_IntHigh_2060_2090,4.5,5.100000000000001,5.649999999999999,7.600000000000001
slr_total_High_2060_2090,9.5,10.650000000000006,12.002499999999998,16.061999999999987
slr_ocean_dyn_High_2060_2090,1.3999999999999986,1.5999999999999996,1.8000000000000007,2.3499999999999996
slr_vlm_High_2060_2090,0.5,0.6000000000000001,0.75,1.0
slr_ais_High_2060_2090,3.0999999999999956,3.9050000000000065,6.450000000000003,8.701000000000002
slr_gis_High_2060_2090,5.8999999999999995,7.354999999999999,7.852499999999999,10.301
slr_glaciers_High_2060_2090,0.6499999999999995,0.8999999999999995,1.0999999999999996,1.4004999999999999
slr_landwater_High_2060_2090,0.1499999999999999,0.19999999999999996,0.30000000000000004,0.30000000000000004
slr_massdef_High_2060_2090,8.210000000000004,9.304999999999998,10.102499999999992,13.9535
dt_mean_20_days_Low_2020,12.5,14.050000000000011,18.0,32.504999999999995
dt_mean_20_days_IntLow_2020,7.0,9.0,12.0,15.5
dt_mean_20_days_Int_2020,5.0,7.0,8.5,12.0
dt_mean_20_days_IntHigh_2020,4.5,6.0,7.0,9.504999999999995
dt_mean_20_days_High_2020,4.0,5.0,6.0,9.0
dt_mean_20_days_Low_2030,13.5,16.0,20.5,34.0
